CCSD(T) 3b energies
dV_123 = 21.3091 kelvin
dV_123 = 6.3722 kelvin
dV_123 = 2.4946 kelvin
dV_123 = 1.1162 kelvin
dV_123 = 0.5377 kelvin
dV_123 = 0.2737 kelvin
dV_123 = 0.1461 kelvin
dV_123 = 0.0813 kelvin
dV_123 = 0.028 kelvin
dV_123 = -164.2223 kelvin
dV_123 = 28.427 kelvin
dV_123 = 6.795 kelvin
dV_123 = 1.6037 kelvin
dV_123 = 0.5991 kelvin
dV_123 = 0.2776 kelvin
dV_123 = 0.1371 kelvin
dV_123 = 0.0703 kelvin
dV_123 = 0.0377 kelvin
dV_123 = 0.0212 kelvin
dV_123 = 0.0069 kelvin
dV_123 = 2.1196 kelvin
dV_123 = 12.0301 kelvin
dV_123 = 3.7494 kelvin
dV_123 = 1.171 kelvin
dV_123 = 0.3892 kelvin
dV_123 = 0.1408 kelvin
dV_123 = 0.0558 kelvin
dV_123 = 0.0243 kelvin
dV_123 = 0.0111 kelvin
dV_123 = 0.0024 kelvin
dV_123 = -736.1819 kelvin
dV_123 = -14.2874 kelvin
dV_123 = 4.6056 kelvin
dV_123 = 1.2247 kelvin
dV_123 = 0.2606 kelvin
dV_123 = 0.0481 kelvin
dV_123 = 0.0014 kelvin
dV_123 = -0.0071 kelvin
dV_123 = -0.0072 kelvin
dV_123 = -0.0053 kelvin
dV_123 = -0.0029 kelvin
dV_123 = 417.948 kelvin
dV_123 = 201.8909 kelvin
dV_123 = 48.3485 kelvin
dV_123 = 11.3435 kelvin
dV_123 = 3.2563 kelvin
dV_123 = 1.1916 kelvin
dV_123 = 0.5162 kelvin
dV_123 = 0.2468 kelvin
dV_123 = 0.1259 kelvin
dV_123 = 0.0677 kelvin
dV_123 = 0.0221 kelvin
dV_123 = 481.9178 kelvin
dV_123 = 13.5094 kelvin
dV_123 = -8.1657 kelvin
dV_123 = -4.1971 kelvin
dV_123 = -1.7641 kelvin
dV_123 = -0.7548 kelvin
dV_123 = -0.3452 kelvin
dV_123 = -0.1688 kelvin
dV_123 = -0.0882 kelvin
dV_123 = -0.0485 kelvin
dV_123 = -0.0169 kelvin
dV_123 = -211.6845 kelvin
dV_123 = 3.3975 kelvin
dV_123 = 2.2112 kelvin
dV_123 = 0.3871 kelvin
dV_123 = 0.0869 kelvin
dV_123 = 0.0432 kelvin
dV_123 = 0.0282 kelvin
dV_123 = 0.018 kelvin
dV_123 = 0.0111 kelvin
dV_123 = 0.0066 kelvin
dV_123 = 0.0023 kelvin
dV_123 = -230.037 kelvin
dV_123 = 73.0056 kelvin
dV_123 = 27.6801 kelvin
dV_123 = 8.8519 kelvin
dV_123 = 3.1041 kelvin
dV_123 = 1.2115 kelvin
dV_123 = 0.5203 kelvin
dV_123 = 0.242 kelvin
dV_123 = 0.121 kelvin
dV_123 = 0.0638 kelvin
dV_123 = 0.0199 kelvin
dV_123 = -138.4645 kelvin
dV_123 = 17.6995 kelvin
dV_123 = 7.5174 kelvin
dV_123 = 2.4263 kelvin
dV_123 = 0.8049 kelvin
dV_123 = 0.2817 kelvin
dV_123 = 0.1046 kelvin
dV_123 = 0.041 kelvin
dV_123 = 0.0163 kelvin
dV_123 = 0.0025 kelvin
dV_123 = -117.1268 kelvin
dV_123 = 40.5458 kelvin
dV_123 = 11.942 kelvin
dV_123 = 3.7097 kelvin
dV_123 = 1.2919 kelvin
dV_123 = 0.48 kelvin
dV_123 = 0.1879 kelvin
dV_123 = 0.0775 kelvin
dV_123 = 0.0335 kelvin
dV_123 = 0.0065 kelvin
dV_123 = -176.0635 kelvin
dV_123 = 20.1005 kelvin
dV_123 = 10.3062 kelvin
dV_123 = 4.0285 kelvin
dV_123 = 1.7081 kelvin
dV_123 = 0.7867 kelvin
dV_123 = 0.3878 kelvin
dV_123 = 0.2021 kelvin
dV_123 = 0.1107 kelvin
dV_123 = 0.0369 kelvin
dV_123 = -1615.5915 kelvin
dV_123 = -82.1577 kelvin
dV_123 = -3.1465 kelvin
dV_123 = -0.4452 kelvin
dV_123 = -0.2834 kelvin
dV_123 = -0.1667 kelvin
dV_123 = -0.0923 kelvin
dV_123 = -0.051 kelvin
dV_123 = -0.0289 kelvin
dV_123 = -0.0104 kelvin
dV_123 = -100.4921 kelvin
dV_123 = -13.6979 kelvin
dV_123 = -3.8267 kelvin
dV_123 = -1.3175 kelvin
dV_123 = -0.5472 kelvin
dV_123 = -0.2672 kelvin
